,gvkey,iid,datadate,tic,cusip,conm,curcddv,capgn,cheqv,div,divd,divdpaydateind,divsp,dvrated,paydateind,anncdate,capgnpaydate,cheqvpaydate,divdpaydate,divsppaydate,paydate,recorddate,curcdd,adrrc,ajexdi,cshoc,cshtrd,dvi,eps,epsmo,prccd,prchd,prcld,prcod,prcstd,trfd,exchg,secstat,tpci,cik,fic,add1,add2,add3,add4,addzip,busdesc,city,conml,costat,county,dlrsn,ein,fax,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
0,61581,1,1/4/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,66006, ,1.94,9,47.53,47.9,46.71,47.12,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
1,61581,1,1/5/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,165907, ,1.94,9,47.8,49.38,47.37,47.73,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
2,61581,1,1/6/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,153612, ,1.94,9,47.27,47.77,46.89,47.62,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
3,61581,1,1/7/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,62033, ,1.94,9,46.95,47.579,46.62,47.37,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
4,61581,1,1/8/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,41419, ,1.94,9,47.11,47.37,46.61,47,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
5,61581,1,1/11/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,69662, ,1.94,9,47.14,47.99,46.7817,47.52,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
6,61581,1,1/12/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,45389, ,1.94,9,47.47,47.9999,46.8,46.8,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
7,61581,1,1/13/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,54205, ,1.94,9,48.15,48.57,47.72,47.72,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
8,61581,1,1/14/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,60213, ,1.94,9,48.25,48.89,48.16,48.2,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
9,61581,1,1/15/2010,SAM,100557107,BOSTON BEER INC  -CL A, , , , , , , , , , , , , , , , ,USD, ,1,10145000,110758, ,1.94,9,48.2,48.94,48.0619,48.44,3,1.00286533,11,A,0,949870,USA,"One Design Center Place, Suite 850", , , ,2210,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States, Canada, Europe, Israel, the Caribbean, the Pacific Rim, Mexico, and Central and South America.",Boston,Boston Beer Co Inc. (The),A, , ,04-3284048, ,12,3020,302010,30,30201010,D,MA,USA,312120,617-368-5000, , ,1,2082,140,978,B+,MA,0,www.bostonbeer.com, ,11/20/1995
